Frames	sa_pro	sa_A	sa_C	sa_buried
1177	12703.51465	12847.93555	349.3499146	493.770813
1178	12464.90137	12627.35645	356.4979553	518.9530334
1179	12705.86914	12828.34473	342.6605225	465.1361084
1180	12679.21289	12789.74609	346.0758362	456.6090393
1181	12672.46777	12769.82324	354.024353	451.3798218
1182	12727.37891	12823.54492	352.3783875	448.5444031
1183	12532.05664	12621.98926	348.6142883	438.5469055
1184	12608.28223	12730.44922	337.2489624	459.4159546
1185	12519.24805	12667.00098	343.3484497	491.1013794
1186	12688.74609	12767.6582	346.210022	425.1221313
1187	12756.57715	12826.34668	365.8842163	435.6537476
1188	12744.24512	12818.48926	352.3442078	426.5883484
1189	12722.54199	12837.56445	343.4147949	458.4372559
1190	12807.24609	12928.41309	343.6515808	464.818573
1191	12798.51855	12911.04004	348.3981323	460.9196167
1192	12636.84766	12751.74512	336.9081726	451.8056335
1193	12532.08008	12611.78809	337.6657104	417.3737183
1194	12578.16016	12680.51758	333.3006287	435.6580505
1195	12488.07227	12568.86133	330.6697693	411.4588318
1196	12717.25391	12853.74121	355.3398438	491.8271484
1197	12678.09375	12784.01953	340.218689	446.1444702
1198	12943.2998	13014.32129	335.8232422	406.8447266
1199	12850.11621	12991.45801	357.0350342	498.3768311
1200	12594.86914	12740.35254	353.9190674	499.4024658
1201	12593.3916	12723.80957	341.3740234	471.7919922
1202	12631.30566	12772.99609	343.5636292	485.2540588
1203	12716.0293	12784.27832	334.120697	402.3697205
1204	12539.07813	12656.19824	349.0480347	466.1681519
1205	12412.66895	12528.41895	345.1464844	460.8964844
1206	12549.10449	12652.71191	350.4489746	454.0563965
1207	12672.01465	12809.89746	352.2720947	490.1549072
1208	12497.05176	12644.28125	351.9529114	499.1824036
1209	12486.95703	12595.12598	339.8708191	448.0397644
1210	12861.10156	12929.43359	336.5965271	404.9285583
1211	12528.63867	12631.81348	335.7239685	438.8987732
1212	12598.75586	12695.46777	328.7745056	425.4864197
1213	12640.68457	12734.88184	336.0926208	430.2898865
1214	12687.30762	12763.08887	344.322113	420.103363
1215	13002.96875	13112.93262	334.6533203	444.6171875
1216	12959.78613	13043.70117	333.015686	416.9307251
1217	12865.23633	12903.33496	339.3882751	377.486908
1218	12564.51563	12657.8584	332.4343262	425.7770996
1219	12748.23926	12816.27832	342.3901367	410.4291992
1220	12690.17676	12745.1709	325.5441589	380.5382996
1221	12795.15039	12857.36914	343.3763123	405.5950623
1222	12544.93457	12608.76563	350.318512	414.1495667
